GEO_ID,NAME,P2_001N,P2_002N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N
Geography,Geographic Area Name,Total,Hispanic or Latino total,White total,Black or African American total,American Indian and Alaska Native total,Asian total,Native Hawaiian and Other Pacific Islander total,Some Other Race total,Two or more races total
0500000US01001,"Autauga County, Alabama",58805,2117,41582,11352,184,873,22,185,2490
0500000US01003,"Baldwin County, Alabama",231767,12686,186495,18001,1291,2029,122,775,10368
0500000US01005,"Barbour County, Alabama",25223,1510,11086,11850,58,103,0,63,553
0500000US01007,"Bibb County, Alabama",22293,740,16442,4390,39,26,9,47,600
0500000US01009,"Blount County, Alabama",59134,5771,49764,826,188,174,11,100,2300
0500000US01011,"Bullock County, Alabama",10357,503,2281,7388,1,9,7,31,137
0500000US01013,"Butler County, Alabama",19051,260,9679,8389,23,143,5,46,506
0500000US01015,"Calhoun County, Alabama",116441,5010,79519,25365,386,1164,112,317,4568
0500000US01017,"Chambers County, Alabama",34772,1237,18616,13441,71,385,11,115,896
0500000US01019,"Cherokee County, Alabama",24971,400,22563,987,109,55,1,46,810
0500000US01021,"Chilton County, Alabama",45014,4418,34878,4040,112,176,5,121,1264
0500000US01023,"Choctaw County, Alabama",12665,113,7039,5217,24,19,0,13,240
0500000US01025,"Clarke County, Alabama",23087,206,11970,10223,74,91,1,37,485
0500000US01027,"Clay County, Alabama",14236,449,11261,1942,45,46,4,26,463
0500000US01029,"Cleburne County, Alabama",15056,284,13740,457,42,21,2,16,494
0500000US01031,"Coffee County, Alabama",53465,4887,35759,8643,405,892,57,195,2627
0500000US01033,"Colbert County, Alabama",57227,1732,43241,9222,223,432,9,135,2233
0500000US01035,"Conecuh County, Alabama",11597,256,5835,5096,71,33,0,16,290
0500000US01037,"Coosa County, Alabama",10387,201,6807,3000,25,8,0,47,299
0500000US01039,"Covington County, Alabama",37570,654,30657,4563,140,240,0,71,1245
0500000US01041,"Crenshaw County, Alabama",13194,187,9333,3085,48,83,2,27,429
0500000US01043,"Cullman County, Alabama",87866,4146,78298,914,287,522,64,151,3484
0500000US01045,"Dale County, Alabama",49326,3254,32602,10100,217,648,42,164,2299
0500000US01047,"Dallas County, Alabama",38462,296,10363,26812,56,145,12,38,740
0500000US01049,"DeKalb County, Alabama",71608,11744,54529,1019,715,237,16,86,3262
0500000US01051,"Elmore County, Alabama",87977,2793,62540,18126,270,669,28,275,3276
0500000US01053,"Escambia County, Alabama",36757,751,22004,10922,1488,108,22,49,1413
0500000US01055,"Etowah County, Alabama",103436,4895,77731,14999,332,921,39,260,4259
0500000US01057,"Fayette County, Alabama",16321,396,13552,1720,43,49,1,29,531
0500000US01059,"Franklin County, Alabama",32113,6259,23581,1139,128,67,2,77,860
0500000US01061,"Geneva County, Alabama",26659,1296,21654,2231,166,86,7,72,1147
0500000US01063,"Greene County, Alabama",7730,61,1285,6227,5,7,0,11,134
0500000US01065,"Hale County, Alabama",14785,149,5972,8313,34,18,5,23,271
0500000US01067,"Henry County, Alabama",17146,334,11842,4232,50,73,0,49,566
0500000US01069,"Houston County, Alabama",107202,4481,68251,28232,321,1260,59,354,4244
0500000US01071,"Jackson County, Alabama",52579,1681,45123,1624,680,214,2,109,3146
0500000US01073,"Jefferson County, Alabama",674721,34856,324252,280112,1207,13043,311,1966,18974
0500000US01075,"Lamar County, Alabama",13972,208,11924,1421,28,6,3,22,360
0500000US01077,"Lauderdale County, Alabama",93564,3078,76491,9164,295,748,31,204,3553
0500000US01079,"Lawrence County, Alabama",33073,895,24714,3302,1440,84,7,69,2562
0500000US01081,"Lee County, Alabama",174241,9135,109795,39252,365,8544,108,462,6580
0500000US01083,"Limestone County, Alabama",103570,7248,75692,13177,458,1857,70,319,4749
0500000US01085,"Lowndes County, Alabama",10311,140,2807,7149,9,15,0,5,186
0500000US01087,"Macon County, Alabama",19532,361,3187,15395,48,74,4,45,418
0500000US01089,"Madison County, Alabama",388153,24936,237497,91079,2132,10179,450,1702,20178
0500000US01091,"Marengo County, Alabama",19323,368,8375,10133,6,54,1,41,345
0500000US01093,"Marion County, Alabama",29341,863,26093,1094,82,75,14,43,1077
0500000US01095,"Marshall County, Alabama",97612,15658,74666,2293,418,579,128,199,3671
0500000US01097,"Mobile County, Alabama",414809,13425,226703,145435,3743,8515,216,1302,15470
0500000US01099,"Monroe County, Alabama",19772,207,10334,8253,281,88,0,44,565
0500000US01101,"Montgomery County, Alabama",228954,10684,73354,129801,364,7952,119,722,5958
0500000US01103,"Morgan County, Alabama",123421,12377,88238,15307,631,829,79,376,5584
0500000US01105,"Perry County, Alabama",8511,89,2345,5914,15,10,1,0,137
0500000US01107,"Pickens County, Alabama",19123,1053,10066,7448,23,78,0,12,443
0500000US01109,"Pike County, Alabama",33009,905,18036,12068,169,577,9,117,1128
